probeID,chrm,start,end,GeneNames,GeneClasses,CGIPosition,MethylScore Coefficients
cg22855993,chr1,16071749,16071751,FAM131C,protein_coding,N_Shore,0.16490283051576293
cg17099306,chr13,49549508,49549510,RCBTB1,protein_coding,.,0.1505846182809989
cg10089193,chr16,1090938,1090940,C1QTNF8,protein_coding,S_Shore,0.08905797668532893
cg22162847,chr1,150562302,150562304,ADAMTSL4-AS1,processed_transcript,S_Shore,0.08669651961992604
cg09890699,chr1,54356179,54356181,SSBP3,protein_coding,N_Shore,0.07738182767122098
cg08329113,chr16,70737238,70737240,VAC14,protein_coding,.,0.0735496207948617
cg18072388,chr19,10323084,10323086,RAVER1,protein_coding,N_Shore,0.07320136628661969
cg00920892,chr8,37874705,37874707,RAB11FIP1,protein_coding,.,0.07226311627236454
cg19706516,chr1,151131392,151131394,RP11-68I18.10,sense_overlapping,Island,0.06280911307235237
cg17669009,chr19,51417630,51417632,SIGLEC10,protein_coding,.,0.05679578299241105
cg06142946,chr11,17351576,17351578,NCR3LG1,protein_coding,Island,0.0485251619655532
cg07143043,chr10,131970793,131970795,BNIP3,protein_coding;antisense,.,0.04808932962978578
cg07143043,chr10,131970793,131970795,RP11-45A17.2,protein_coding;antisense,.,0.04808932962978578
cg14978242,chr5,80205311,80205313,SERINC5,protein_coding,.,0.04586848311645673
cg09411730,chr11,65423474,65423476,NEAT1_2,lincRNA;misc_RNA,Island,0.030280083814138988
cg09411730,chr11,65423474,65423476,NEAT1_3,lincRNA;misc_RNA,Island,0.030280083814138988
cg09411730,chr11,65423474,65423476,NEAT1,lincRNA;misc_RNA,Island,0.030280083814138988
cg05348324,chr11,119797455,119797457,.,.,.,0.02225340228998628
cg13213755,chr15,73634112,73634114,NPTN,protein_coding,S_Shore,-0.0028084400689655014
cg10280339,chr15,65519989,65519991,.,.,S_Shelf,-0.008283092760132105
cg13702536,chr12,122731005,122731007,HCAR1,protein_coding,.,-0.013433966200067583
cg23458843,chr12,57742661,57742663,AGAP2,protein_coding,S_Shelf,-0.022953246240490506
cg23458843,chr12,57742661,57742663,TSPAN31,protein_coding,S_Shelf,-0.022953246240490506
cg18964582,chr1,236393881,236393883,EDARADD,protein_coding,N_Shore,-0.02301172966945214
cg03601372,chr19,36776123,36776125,CTD-2162K18.4,lincRNA,Island,-0.02589865387852076
cg03601372,chr19,36776123,36776125,CTD-2162K18.3,lincRNA,Island,-0.02589865387852076
cg10817441,chr6,32855950,32855952,PSMB9,protein_coding,S_Shore,-0.02626756414832453
cg10805039,chr17,847000,847002,NXN,protein_coding,.,-0.029878763902726545
cg01771213,chr1,57270164,57270166,DAB1,protein_coding,.,-0.03215300073931245
cg14928764,chr20,23083970,23083972,CD93,protein_coding,.,-0.04534586490344376
cg21637653,chr17,17213452,17213454,RP11-45M22.4,protein_coding,.,-0.04754240203844697
cg21637653,chr17,17213452,17213454,MPRIP,protein_coding,.,-0.04754240203844697
cg21637653,chr17,17213452,17213454,FLCN,protein_coding,.,-0.04754240203844697
cg26223555,chr19,51824187,51824189,FPR3,protein_coding,.,-0.048635633952838514
cg17632028,chr4,652752,652754,PDE6B,protein_coding,N_Shore,-0.060050617534333106
cg06748884,chr16,11138900,11138902,CLEC16A,protein_coding,.,-0.06377081234924102
cg26846864,chr16,3257325,3257327,MEFV,protein_coding,S_Shelf,-0.06906247360740075
cg04839706,chr16,46886162,46886164,GPT2,protein_coding,S_Shore,-0.07114955823238968
cg23875404,chr13,36154731,36154733,.,.,N_Shore,-0.07119358194302988
cg16424082,chr12,50929956,50929958,METTL7A,protein_coding,.,-0.07313776421691894
cg06339275,chr3,62948996,62948998,LINC00698,lincRNA,.,-0.08762830146008332
cg02918093,chr16,10624083,10624085,.,.,N_Shelf,-0.10892797108306997
cg08900363,chr7,597816,597818,PRKAR1B,protein_coding,.,
cg01543603,chr16,89403132,89403134,ANKRD11,sense_intronic;protein_coding,.,
cg01543603,chr16,89403132,89403134,RP1-168P16.2,sense_intronic;protein_coding,.,
cg00192882,chr17,19387806,19387808,MFAP4,protein_coding,.,
cg08404702,chr16,2083386,2083388,TSC2,protein_coding,N_Shore,
cg19432033,chr17,7613901,7613903,FXR2,protein_coding,N_Shore,
cg19432033,chr17,7613901,7613903,SHBG,protein_coding,N_Shore,
cg07660635,chr16,85902540,85902542,IRF8,protein_coding,S_Shelf,
cg05480169,chr10,133253903,133253905,.,.,.,
cg18886274,chr7,85160554,85160556,SEMA3D,protein_coding,.,
cg10009497,chr7,1055779,1055781,C7orf50,protein_coding;antisense,N_Shore,
cg10009497,chr7,1055779,1055781,RP11-449P15.1,protein_coding;antisense,N_Shore,
cg10009497,chr7,1055779,1055781,GPR146,protein_coding;antisense,N_Shore,
cg20703895,chr1,157438011,157438013,.,.,.,
cg21750233,chr11,6483080,6483082,TIMM10B,protein_coding,S_Shore,
cg20018344,chr20,3223491,3223493,ITPA,protein_coding,.,
cg23128949,chr12,124501577,124501579,NCOR2,protein_coding,.,
cg11823637,chr12,22729886,22729888,RP11-114G22.1,lincRNA,.,
cg25292309,chr2,58762291,58762293,LINC01122,lincRNA,.,
cg15787807,chr11,64741618,64741620,RASGRP2,protein_coding,N_Shore,
cg13984533,chr1,37796839,37796841,MANEAL,protein_coding,S_Shelf,
cg16721321,chr4,1208907,1208909,SPON2,protein_coding;antisense,N_Shore,
cg16721321,chr4,1208907,1208909,CTBP1-AS,protein_coding;antisense,N_Shore,
cg10098541,chr3,123066802,123066804,PDIA5,protein_coding,N_Shore,
cg01614643,chr6,30156991,30156993,TRIM10,protein_coding,.,
cg13360395,chr2,123907703,123907705,.,.,.,
cg18586780,chr2,235044659,235044661,SH3BP4,protein_coding,S_Shore,
cg18151487,chr10,102715582,102715584,SFXN2,protein_coding,S_Shore,
cg18151487,chr10,102715582,102715584,ARL3,protein_coding,S_Shore,
cg00059652,chr17,69609356,69609358,LINC01483,lincRNA,.,
cg26310429,chr17,73028309,73028311,SLC39A11,protein_coding,.,
cg06585893,chr1,230747805,230747807,RP11-99J16__A.2,protein_coding;antisense,.,
cg06585893,chr1,230747805,230747807,CAPN9,protein_coding;antisense,.,
cg04205653,chr21,44805974,44805976,SUMO3,protein_coding,S_Shelf,
cg00550080,chr6,30157014,30157016,TRIM10,protein_coding,.,
cg16449402,chr3,9733040,9733042,BRPF1,protein_coding,S_Shore,
cg12251145,chr6,30156966,30156968,TRIM10,protein_coding,.,
cg26361535,chr8,143494433,143494435,ZC3H3,protein_coding,.,
cg21785847,chr2,216081555,216081557,TMEM169,protein_coding,N_Shore,
cg21785847,chr2,216081555,216081557,PECR,protein_coding,N_Shore,
cg15081720,chr1,119323994,119323996,RP11-418J17.3,lincRNA,N_Shelf,
cg13857210,chr9,136107370,136107372,.,.,.,
cg15022671,chr2,203637474,203637476,AC125238.2,processed_pseudogene,.,
cg15119221,chr17,19387441,19387443,MFAP4,protein_coding,.,
cg18437839,chr1,201476584,201476586,.,.,.,
cg08480739,chr11,67997549,67997551,UNC93B1,protein_coding,Island,
cg03769055,chr6,30157026,30157028,TRIM10,protein_coding,.,
cg01312394,chr2,46882240,46882242,.,.,.,
cg11818438,chr8,118904290,118904292,.,.,.,
cg00223135,chr15,43507046,43507048,TP53BP1,protein_coding,N_Shelf,
cg08467866,chr16,75208215,75208217,CTRB2,protein_coding,.,
cg00206490,chr16,89403320,89403322,ANKRD11,sense_intronic;protein_coding,.,
cg00206490,chr16,89403320,89403322,RP1-168P16.2,sense_intronic;protein_coding,.,
cg00945409,chr10,78977907,78977909,ZMIZ1-AS1,antisense,S_Shelf,
cg21739530,chr4,173264916,173264918,GALNT7,protein_coding,.,
cg03596113,chr1,3213404,3213406,PRDM16,protein_coding,.,
cg01591830,chr16,89599591,89599593,.,.,S_Shelf,
cg10057841,chr11,130126348,130126350,APLP2,protein_coding,S_Shelf,
cg01443071,chr17,41968231,41968233,CNP,protein_coding,Island,
cg04092699,chr2,76748093,76748095,LRRTM4,protein_coding,.,
cg09281220,chr2,219595362,219595364,.,.,N_Shelf,
cg21477075,chr6,168032755,168032757,KIF25,protein_coding,N_Shelf,
cg16822174,chr12,19483011,19483013,AEBP2,protein_coding,.,
cg18581405,chr19,3180036,3180038,S1PR4,protein_coding,S_Shore,
cg04407248,chr16,31136874,31136876,PRSS8,protein_coding,.,
cg19479744,chr6,155701180,155701182,.,.,.,
cg20964021,chr7,156641708,156641710,LINC01006,lincRNA;protein_coding,S_Shore,
cg20964021,chr7,156641708,156641710,RNF32,lincRNA;protein_coding,S_Shore,
cg25898577,chr22,21937868,21937870,LL22NC03-86G7.1,protein_coding;antisense,N_Shore,
cg25898577,chr22,21937868,21937870,PPM1F,protein_coding;antisense,N_Shore,
cg27018309,chr16,8849264,8849266,RP11-77H9.2,protein_coding;antisense,.,
cg27018309,chr16,8849264,8849266,RP11-152P23.2,protein_coding;antisense,.,
cg27018309,chr16,8849264,8849266,PMM2,protein_coding;antisense,.,
cg12762600,chr15,89647922,89647924,KIF7,protein_coding,N_Shore,
cg27658601,chr17,82836204,82836206,ZNF750,protein_coding,S_Shelf,
cg27658601,chr17,82836204,82836206,TBCD,protein_coding,S_Shelf,
cg07593405,chr7,118900,118902,.,.,S_Shore,
cg19461880,chr11,6483135,6483137,TIMM10B,protein_coding,S_Shore,
cg04400145,chr20,1893035,1893037,RP5-858L17.1,protein_coding;antisense,N_Shore,
cg04400145,chr20,1893035,1893037,SIRPA,protein_coding;antisense,N_Shore,
cg11661187,chr4,89835381,89835383,SNCA,protein_coding;antisense,N_Shore,
cg11661187,chr4,89835381,89835383,SNCA-AS1,protein_coding;antisense,N_Shore,
cg18019132,chr11,65424235,65424237,NEAT1,lincRNA,S_Shore,
cg00539049,chr2,149077019,149077021,LYPD6B,protein_coding,.,
cg16429055,chr17,17051538,17051540,MPRIP,protein_coding,.,
cg09140274,chr1,220896850,220896852,.,.,S_Shore,
cg07253321,chr6,146598717,146598719,RP11-715G15.1,lincRNA;protein_coding,N_Shore,
cg07253321,chr6,146598717,146598719,ADGB,lincRNA;protein_coding,N_Shore,
cg26130533,chr4,1208911,1208913,SPON2,protein_coding;antisense,N_Shore,
cg26130533,chr4,1208911,1208913,CTBP1-AS,protein_coding;antisense,N_Shore,
cg11600161,chr11,67404113,67404115,PPP1CA,protein_coding,S_Shelf,
cg11600161,chr11,67404113,67404115,TBC1D10C,protein_coding,S_Shelf,
cg11840849,chr10,93363960,93363962,MYOF,protein_coding,.,
cg18062721,chr3,11601952,11601954,VGLL4,protein_coding,.,
cg03445800,chr3,481328,481330,.,.,.,
cg15219347,chr19,17378501,17378503,PLVAP,protein_coding,.,
cg04516952,chr19,50968785,50968787,KLK6,protein_coding;antisense,.,
cg04516952,chr19,50968785,50968787,CTB-147C22.9,protein_coding;antisense,.,
cg11958234,chr1,117684205,117684207,.,.,.,
cg10187365,chr21,33488648,33488650,DNAJC28,protein_coding,N_Shelf,
cg15538767,chr5,150490832,150490834,NDST1,protein_coding,.,
cg03272932,chr16,87555286,87555288,.,.,.,
cg01140244,chr10,132685455,132685457,INPP5A,protein_coding,.,
cg17078656,chr1,12475057,12475059,VPS13D,protein_coding,.,
cg24800630,chr6,156426519,156426521,.,.,.,
cg17518965,chr19,3178956,3178958,S1PR4,protein_coding,Island,
cg04339462,chr14,99561858,99561860,CCDC85C,protein_coding,.,
cg25392500,chr6,32127129,32127131,ATF6B,protein_coding,.,
cg21955549,chr15,65026930,65026932,MTFMT,protein_coding,N_Shelf,
cg20460366,chr20,46305392,46305394,CDH22,protein_coding,N_Shore,
cg23716141,chr17,77364394,77364396,SEPT9,protein_coding,.,
cg05482050,chr5,177982332,177982334,RP11-1252I4.2,lincRNA,N_Shelf,
cg10695490,chr19,49156041,49156043,HRC,protein_coding,N_Shore,
cg20378520,chr12,125219264,125219266,TMEM132B,protein_coding,.,
cg12984636,chr9,104693221,104693223,OR13D1,protein_coding,.,
cg09797463,chr10,89235539,89235541,LIPA,protein_coding,.,
cg01052291,chr6,132715433,132715435,VNN1,protein_coding,.,
cg13691108,chr20,38804603,38804605,PPP1R16B,protein_coding,N_Shore,
cg09744397,chr15,101725089,101725091,TARSL2,protein_coding,S_Shore,
cg22401679,chr1,94614490,94614492,.,.,.,
cg18530324,chr18,48538620,48538622,CTIF,protein_coding,N_Shore,
cg07892374,chr3,130849277,130849279,ATP2C1,protein_coding,.,
cg01782668,chr4,148026284,148026286,ARHGAP10,protein_coding,.,
cg21094613,chr11,79189641,79189643,TENM4,protein_coding,.,
cg27125093,chr19,3179829,3179831,S1PR4,protein_coding,Island,
cg13927938,chr1,204490455,204490457,PIK3C2B,protein_coding,N_Shelf,
cg15586054,chr6,165658541,165658543,PDE10A,protein_coding,N_Shore,
cg22571135,chr7,55309356,55309358,.,.,.,
cg21853989,chr1,45339053,45339055,MUTYH,protein_coding,N_Shore,
cg21853989,chr1,45339053,45339055,TOE1,protein_coding,N_Shore,
cg08742262,chr7,158549590,158549592,PTPRN2,protein_coding,N_Shore,
